045m	0
0cc6	0
0m6a	0
0tos	0
11po	0
25mg	0
35er	0
3rs9	0
446w	0
55uh	0
6rp5	0
8g5b	0
8nso	0
93by	0
a93x	0
acs3	0
bc6o	0
bkux	0
bwp4	0
cex6	0
coly	0
d7g4	0
e8th	0
f6rd	0
f9ce	0
fk8c	0
fpq0	0
h1s0	0
i1re	0
idef	0
io34	0
iwt8	0
msg4	0
mtum	0
ncmh	0
nhqo	0
nka3	0
nwgx	0
og31	0
oszr	0
pai4	0
pqtz	0
qrs4	0
roa3	0
sfg0	0
t1l4	0
uobb	0
utvo	0
vv6a	0
wwvn	0
x9wz	0
xm3h	0
z8aj	0
znc3	0
0shc	1
1n5c	1
2jrv	1
39de	1
3pqa	1
49cl	1
4vai	1
4vsb	1
5qqn	1
8uqj	1
9l88	1
9p5t	1
bh1w	1
c76l	1
dfzk	1
dq0r	1
dt0s	1
goxa	1
h7ph	1
iwna	1
k9tm	1
kgq8	1
kit7	1
m7v1	1
mnko	1
n6bc	1
nlu5	1
preu	1
pz06	1
r1ei	1
rgf4	1
rix0	1
t598	1
v1b5	1
v6hl	1
vlue	1
xw2g	1
z1bn	1
z821	1
zl2h	1
0lwl	2
1wax	2
22vt	2
2jyk	2
2zu8	2
35qj	2
38wv	2
4m3f	2
a35x	2
bmkf	2
csiw	2
e8pl	2
fdny	2
he6g	2
hxhe	2
i02o	2
idcb	2
j9fe	2
jbh1	2
jrep	2
loxk	2
m0oj	2
m8tj	2
mijs	2
n8rw	2
nzlw	2
nzpq	2
p75e	2
rd69	2
u3hs	2
vwo1	2
w4w1	2
wx28	2
xk3b	2
xrqq	2
xsjv	2
ya7z	2
yey8	2
zck9	2
02f0	3
037p	3
06gt	3
16jq	3
19lj	3
2dm0	3
3bmo	3
3k6m	3
41ce	3
53r3	3
8577	3
aaw5	3
aje8	3
alc5	3
b9z2	3
bfo0	3
cjw4	3
dkyz	3
fcuo	3
fxlr	3
gumf	3
gxtr	3
h6ap	3
hgnm	3
hoef	3
hw6z	3
ixrs	3
jzkj	3
k7bv	3
ljs1	3
luje	3
o496	3
pio0	3
qndu	3
rl7l	3
rqh8	3
sz0j	3
tco4	3
twia	3
u64s	3
ugy3	3
w1h5	3
w9fb	3
wuwh	3
xxi7	3
y0jh	3
y9qb	3
ydx7	3
z7j2	3
zqdj	3
zse0	3
1cf1	4
1kh4	4
21tr	4
2c9n	4
2mln	4
2ps5	4
3846	4
401o	4
5qom	4
5uhi	4
6si1	4
